idx_a,idx_b,sta_a,sta_b,x_a,y_a,x_b,y_b,distance,dt,nwin,storage_type,storage_path,quality_score,tags
0,1,453000109,453000067,-2,0,0,0,2.0,0.01,100,sac,CCF/CCF_00_01_453000109_453000067.Z.sac,,
0,2,453000109,453000188,-2,0,2,0,4.0,0.01,100,sac,CCF/CCF_00_02_453000109_453000188.Z.sac,,
0,3,453000109,453000209,-2,0,4,0,6.0,0.01,100,sac,CCF/CCF_00_03_453000109_453000209.Z.sac,,
0,4,453000109,453000147,-2,0,6,0,8.0,0.01,100,sac,CCF/CCF_00_04_453000109_453000147.Z.sac,,
0,5,453000109,453000030,-2,0,8,0,10.0,0.01,100,sac,CCF/CCF_00_05_453000109_453000030.Z.sac,,
0,6,453000109,453000071,-2,0,10,0,12.0,0.01,100,sac,CCF/CCF_00_06_453000109_453000071.Z.sac,,
0,7,453000109,453000044,-2,0,12,0,14.0,0.01,100,sac,CCF/CCF_00_07_453000109_453000044.Z.sac,,
0,8,453000109,453000131,-2,0,14,0,16.0,0.01,100,sac,CCF/CCF_00_08_453000109_453000131.Z.sac,,
0,9,453000109,453000148,-2,0,16,0,18.0,0.01,100,sac,CCF/CCF_00_09_453000109_453000148.Z.sac,,
0,10,453000109,453000124,-2,0,18,0,20.0,0.01,100,sac,CCF/CCF_00_10_453000109_453000124.Z.sac,,
0,11,453000109,453000190,-2,0,20,0,22.0,0.01,100,sac,CCF/CCF_00_11_453000109_453000190.Z.sac,,
0,12,453000109,453000206,-2,0,22,0,24.0,0.01,100,sac,CCF/CCF_00_12_453000109_453000206.Z.sac,,
0,13,453000109,453000218,-2,0,24,0,26.0,0.01,100,sac,CCF/CCF_00_13_453000109_453000218.Z.sac,,
0,14,453000109,453000103,-2,0,26,0,28.0,0.01,100,sac,CCF/CCF_00_14_453000109_453000103.Z.sac,,
0,15,453000109,453000040,-2,0,28,0,30.0,0.01,100,sac,CCF/CCF_00_15_453000109_453000040.Z.sac,,
0,16,453000109,453000146,-2,0,30,0,32.0,0.01,100,sac,CCF/CCF_00_16_453000109_453000146.Z.sac,,
0,17,453000109,453000107,-2,0,32,0,34.0,0.01,100,sac,CCF/CCF_00_17_453000109_453000107.Z.sac,,
0,18,453000109,453000086,-2,0,34,0,36.0,0.01,100,sac,CCF/CCF_00_18_453000109_453000086.Z.sac,,
0,19,453000109,453000154,-2,0,36,0,38.0,0.01,100,sac,CCF/CCF_00_19_453000109_453000154.Z.sac,,
1,2,453000067,453000188,0,0,2,0,2.0,0.01,100,sac,CCF/CCF_01_02_453000067_453000188.Z.sac,,
1,3,453000067,453000209,0,0,4,0,4.0,0.01,100,sac,CCF/CCF_01_03_453000067_453000209.Z.sac,,
1,4,453000067,453000147,0,0,6,0,6.0,0.01,100,sac,CCF/CCF_01_04_453000067_453000147.Z.sac,,
1,5,453000067,453000030,0,0,8,0,8.0,0.01,100,sac,CCF/CCF_01_05_453000067_453000030.Z.sac,,
1,6,453000067,453000071,0,0,10,0,10.0,0.01,100,sac,CCF/CCF_01_06_453000067_453000071.Z.sac,,
1,7,453000067,453000044,0,0,12,0,12.0,0.01,100,sac,CCF/CCF_01_07_453000067_453000044.Z.sac,,
1,8,453000067,453000131,0,0,14,0,14.0,0.01,100,sac,CCF/CCF_01_08_453000067_453000131.Z.sac,,
1,9,453000067,453000148,0,0,16,0,16.0,0.01,100,sac,CCF/CCF_01_09_453000067_453000148.Z.sac,,
